Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
SKYH,Sky Harbour Group Corp.,10.07,823.6,63,37,19,NA,NA,33.8,5.6,5,-2.5,BUILDING,16.2
CHCT,Community Healthcare Trust Inc.,14.17,413.2,23,36,70,NA,NA,33.75,-18.7,-13,-8.2,REAL EST,0.5
HLF,Herbalife Ltd.,11.89,1225.2,50,33,40,NA,NA,33.75,-0.1,-21.4,28.1,CONSUMER,0
RDW,Redwire Corp.,10.74,2887.4,54,29,40,NA,NA,33.75,-25.2,12.5,34.1,AEROSPACE/DEFENSE,-52
ATHM,Autohome Inc. ADR,20.98,2668.7,58,44,16,NA,NA,33.7,16,14.6,-28.5,INTERNET,5.9
BYDDF,BYD Co. Ltd.,10.44,102404,29,41,56,NA,NA,33.7,1.1,-19,-28.3,AUTO,16.1
CBT,Cabot Corp.,77.44,4004.5,45,37,41,NA,NA,33.7,-15.6,14,-0.8,CHEMICAL,22
FANUY,Fanuc Corp. ADR,18.54,34406,34,36,56,NA,NA,33.7,-21.5,-3.7,28.5,MACHINE,9.5
FJIKY,Fujikura Ltd. ADR,15.92,54843.9,86,28,1,NA,NA,33.7,14.8,18.5,107.9,TELECOM,0
WBD,Warner Bros. Discovery Inc. Series A,27.8,70902.3,67,39,11,NA,NA,33.7,6.1,1.6,48.7,MEDIA,2.1
BNL,Broadstone Net Lease Inc.,19.2,3688.2,44,41,37,NA,NA,33.65,-6.7,-0.6,3.5,REAL EST,3.3
LAR,Lithium Argentina AG,5.77,937,31,34,62,NA,NA,33.65,-36.7,-6,75.4,MINING,-9.5
MDXG,MiMedx Group Inc.,4.77,683.6,58,47,12,NA,NA,33.65,30,12.5,-33.3,MEDICAL,21.6
VMC,Vulcan Materials Co.,240.83,31682,19,34,77,NA,NA,33.65,-20.5,-6.6,-19.3,BUILDING,13
